Nr,Company,Location_HQ,Region,USState,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,Year,latitude,longitude,company_type
44,TravelTriangle,Gurugram,other,Haryana,India,Asia,250,2020-03-28,50.0,500.0,250.0,Travel,Series D,47.0,2020,28.4646148,77.0299194,Service
47,FabHotels,New Delhi,other,Delhi,India,Asia,80,2020-03-30,20.0,400.0,320.0,Travel,Series B,48.0,2020,28.6138954,77.2090057,Service
62,Acko,Mumbai,other,Maharashtra,India,Asia,45,2020-04-01,9.0,500.0,455.0,Finance,Unknown,143.0,2024,19.0785451,72.878176,Service
79,Instamojo,Bengaluru,other,Karnataka,India,Asia,6,2020-04-02,6.0,100.0,94.0,Finance,Unknown,8.0,2020,12.98815675,77.62260004,Service
123,Meesho,Bengaluru,other,Karnataka,India,Asia,200,2020-04-08,28.0,714.0,514.0,Retail,Series D,215.0,2020,12.98815675,77.62260004,Product
157,Shop101,Mumbai,other,Maharashtra,India,Asia,200,2020-04-15,40.0,500.0,300.0,Retail,Series C,19.0,2020,19.0785451,72.878176,Service
160,CleverTap,Mumbai,other,Maharashtra,India,Asia,60,2020-04-16,20.0,300.0,240.0,Marketing,Series C,76.0,2020,19.0785451,72.878176,Service
184,Swiggy,Bengaluru,other,Karnataka,India,Asia,800,2020-04-21,9.2,8657.0,7857.0,Food,Series I,1600.0,2020,12.98815675,77.62260004,Product
219,CureFit,Bengaluru,other,Karnataka,India,Asia,800,2020-05-04,16.0,5000.0,4200.0,Fitness,Series D,404.0,2020,12.98815675,77.62260004,Product
252,Lendingkart,Ahmedabad,other,Gujarat,India,Asia,500,2020-05-15,50.0,1000.0,500.0,Finance,Unknown,200.0,2020,23.0216238,72.5797068,Service
253,Zomato,Gurugram,other,Haryana,India,Asia,520,2020-05-15,13.0,4000.0,3480.0,Food,Series J,914.0,2020,28.4646148,77.0299194,Product
254,Swiggy,Bengaluru,other,Karnataka,India,Asia,1100,2020-05-18,14.0,7857.0,6757.0,Food,Series I,1600.0,2020,12.98815675,77.62260004,Product
256,WeWork,New Delhi,other,Delhi,India,Asia,100,2020-05-18,20.0,500.0,400.0,Real Estate,Series H,19500.0,2020,28.6138954,77.2090057,Service
257,Livspace,Bengaluru,other,Karnataka,India,Asia,450,2020-05-19,15.0,3000.0,2550.0,Retail,Series D,157.0,2020,12.98815675,77.62260004,Service
260,Ola,Bengaluru,other,Karnataka,India,Asia,1400,2020-05-20,35.0,4000.0,2600.0,Transportation,Series J,3800.0,2020,12.98815675,77.62260004,Product
262,ShareChat,Bengaluru,other,Karnataka,India,Asia,101,2020-05-20,25.0,404.0,303.0,Marketing,Series D,222.0,2020,12.98815675,77.62260004,Product
267,PickYourTrail,Chennai,other,Tamil Nadu,India,Asia,70,2020-05-21,35.0,200.0,130.0,Travel,Series A,3.0,2020,13.0836939,80.270186,Service
269,Uber,Bengaluru,other,Karnataka,India,Asia,600,2020-05-26,23.0,2609.0,2009.0,Transportation,Post-IPO,24700.0,2020,12.98815675,77.62260004,Service
272,BookMyShow,Mumbai,other,Maharashtra,India,Asia,270,2020-05-28,18.0,1500.0,1230.0,Consumer,Unknown,224.0,2020,19.0785451,72.878176,Service
294,PaisaBazaar,Gurugram,other,Haryana,India,Asia,1500,2020-06-16,50.0,3000.0,1500.0,Finance,Series G,496.0,2020,28.4646148,77.0299194,Service
297,Navi,Bengaluru,other,Karnataka,India,Asia,40,2020-06-17,25.0,160.0,120.0,Finance,Private Equity,582.0,2020,12.98815675,77.62260004,Service
303,Bounce,Bengaluru,other,Karnataka,India,Asia,130,2020-06-29,22.0,591.0,461.0,Transportation,Series D,214.0,2020,12.98815675,77.62260004,Service
312,Swiggy,Bengaluru,other,Karnataka,India,Asia,350,2020-07-27,5.0,7000.0,6650.0,Food,Series I,1600.0,2020,12.98815675,77.62260004,Product
322,MakeMyTrip,New Delhi,other,Delhi,India,Asia,350,2020-08-31,10.0,3500.0,3150.0,Travel,Post-IPO,548.0,2020,28.6138954,77.2090057,Service
338,Bounce,Bengaluru,other,Karnataka,India,Asia,200,2021-02-22,40.0,500.0,300.0,Transportation,Series D,214.0,2021,12.98815675,77.62260004,Service
361,Trell,Bengaluru,other,Karnataka,India,Asia,300,2022-03-15,50.0,600.0,300.0,Retail,Series B,62.0,2022,12.98815675,77.62260004,Service
367,Unacademy,Bengaluru,other,Karnataka,India,Asia,1000,2022-04-07,17.0,5882.0,4882.0,Education,Series H,838.0,2022,12.98815675,77.62260004,Product
384,Vedantu,Bengaluru,other,Karnataka,India,Asia,200,2022-05-05,3.0,6667.0,6467.0,Education,Series E,292.0,2022,12.98815675,77.62260004,Service
398,Vedantu,Bengaluru,other,Karnataka,India,Asia,424,2022-05-18,7.0,6057.0,5633.0,Education,Series E,292.0,2022,12.98815675,77.62260004,Service
399,Cars24,Gurugram,other,Haryana,India,Asia,600,2022-05-19,6.0,10000.0,9400.0,Transportation,Series G,1300.0,2022,28.4646148,77.0299194,Service
403,MFine,Bengaluru,other,Karnataka,India,Asia,600,2022-05-21,75.0,800.0,200.0,Healthcare,Series C,97.0,2022,12.98815675,77.62260004,Service
417,FrontRow,Bengaluru,other,Karnataka,India,Asia,145,2022-05-27,30.0,483.0,338.0,Education,Series A,17.0,2022,12.98815675,77.62260004,Service
419,Mobile Premier League,Bengaluru,other,Karnataka,India,Asia,100,2022-05-30,10.0,1000.0,900.0,Consumer,Series E,375.0,2022,12.98815675,77.62260004,Service
429,Udayy,Gurugram,other,Haryana,India,Asia,100,2022-06-01,100.0,100.0,0.0,Education,Seed,2.0,2022,28.4646148,77.0299194,Service
436,Yojak,Gurugram,other,Haryana,India,Asia,140,2022-06-02,50.0,280.0,140.0,Construction,Seed,3.0,2022,28.4646148,77.0299194,Service
442,Rupeek,Bengaluru,other,Karnataka,India,Asia,180,2022-06-07,15.0,1200.0,1020.0,Finance,Unknown,172.0,2022,12.98815675,77.62260004,Service
457,FarEye,New Delhi,other,Delhi,India,Asia,250,2022-06-10,30.0,833.0,583.0,Logistics,Series E,150.0,2022,28.6138954,77.2090057,Service
463,Breathe,New Delhi,other,Delhi,India,Asia,50,2022-06-14,33.0,152.0,102.0,Healthcare,Series A,6.0,2022,28.6138954,77.2090057,Service
480,Unacademy,Bengaluru,other,Karnataka,India,Asia,150,2022-06-18,3.0,5000.0,4850.0,Education,Series H,838.0,2022,12.98815675,77.62260004,Product
482,CityMall,Gurugram,other,Haryana,India,Asia,191,2022-06-19,30.0,637.0,446.0,Retail,Series C,112.0,2022,28.4646148,77.0299194,Service
483,Aqgromalin,Chennai,other,Tamil Nadu,India,Asia,80,2022-06-20,30.0,267.0,187.0,Food,Unknown,12.0,2022,13.0836939,80.270186,Service
508,Udaan,Bengaluru,other,Karnataka,India,Asia,180,2022-06-27,4.0,4500.0,4320.0,Retail,Unknown,,2022,12.98815675,77.62260004,Service
519,Oye Rickshaw,New Delhi,other,Delhi,India,Asia,40,2022-06-29,20.0,200.0,160.0,Transportation,Unknown,13.0,2022,28.6138954,77.2090057,Service
525,Crejo.Fun,Bengaluru,other,Karnataka,India,Asia,170,2022-06-30,100.0,170.0,0.0,Education,Seed,3.0,2022,12.98815675,77.62260004,Service
570,Bright Money,Bengaluru,other,Karnataka,India,Asia,100,2022-07-15,50.0,200.0,100.0,Finance,Series A,31.0,2022,12.98815675,77.62260004,Service
621,LEAD,Mumbai,other,Maharashtra,India,Asia,80,2022-08-04,4.0,2000.0,1920.0,Education,Series E,166.0,2022,19.0785451,72.878176,Service
696,Clear,Bengaluru,other,Karnataka,India,Asia,190,2022-09-16,20.0,950.0,760.0,Finance,Series C,140.0,2022,12.98815675,77.62260004,Service
728,Byju's,Bengaluru,other,Karnataka,India,Asia,2500,2022-10-12,5.0,50000.0,47500.0,Education,Private Equity,,2022,12.98815675,77.62260004,Product
729,FrontRow,Bengaluru,other,Karnataka,India,Asia,130,2022-10-12,75.0,173.0,43.0,Education,Series A,17.0,2022,12.98815675,77.62260004,Service
743,Synapsica,New Delhi,other,Delhi,India,Asia,30,2022-10-21,30.0,100.0,70.0,Healthcare,Series A,4.0,2022,28.6138954,77.2090057,Service
786,Unacademy,Bengaluru,other,Karnataka,India,Asia,350,2022-11-07,10.0,3500.0,3150.0,Education,Series H,838.0,2022,12.98815675,77.62260004,Product
795,Plum,Bengaluru,other,Karnataka,India,Asia,36,2022-11-09,10.0,360.0,324.0,Healthcare,Series A,20.0,2022,12.98815675,77.62260004,Service
836,Zomato,Gurugram,other,Haryana,India,Asia,100,2022-11-19,4.0,2500.0,2400.0,Food,Series J,914.0,2022,28.4646148,77.0299194,Product
845,VerSe Innovation,Bengaluru,other,Karnataka,India,Asia,150,2022-11-25,5.0,3000.0,2850.0,Media,Series J,1700.0,2022,12.98815675,77.62260004,Service
858,Teachmint,Bengaluru,other,Karnataka,India,Asia,45,2022-11-30,5.0,900.0,855.0,Education,Series B,118.0,2022,12.98815675,77.62260004,Service
893,Swiggy,Bengaluru,other,Karnataka,India,Asia,250,2022-12-08,3.0,8333.0,8083.0,Food,Unknown,,2022,12.98815675,77.62260004,Product
933,UpScalio,Gurugram,other,Haryana,India,Asia,25,2023-01-05,15.0,167.0,142.0,Retail,Series B,62.0,2023,28.4646148,77.0299194,Service
934,Bounce,Bengaluru,other,Karnataka,India,Asia,40,2023-01-06,5.0,800.0,760.0,Transportation,Series D,214.0,2023,12.98815675,77.62260004,Service
959,BharatAgri,Mumbai,other,Maharashtra,India,Asia,40,2023-01-15,43.0,93.0,53.0,Food,Series A,21.0,2023,19.0785451,72.878176,Service
962,ShareChat,Bengaluru,other,Karnataka,India,Asia,500,2023-01-16,20.0,2500.0,2000.0,Consumer,Series H,1700.0,2023,12.98815675,77.62260004,Product
965,Exotel,Bengaluru,other,Karnataka,India,Asia,142,2023-01-17,15.0,947.0,805.0,Support,Series D,87.0,2023,12.98815675,77.62260004,Service
989,MediBuddy,Bengaluru,other,Karnataka,India,Asia,200,2023-01-20,8.0,2500.0,2300.0,Healthcare,Acquired,192.0,2023,12.98815675,77.62260004,Service
990,Swiggy,Bengaluru,other,Karnataka,India,Asia,380,2023-01-20,6.0,6333.0,5953.0,Food,Unknown,,2023,12.98815675,77.62260004,Product
1011,DealShare,Bengaluru,other,Karnataka,India,Asia,100,2023-01-27,6.0,1667.0,1567.0,Retail,Series E,390.0,2023,12.98815675,77.62260004,Service
1041,Pocket Aces,Mumbai,other,Maharashtra,India,Asia,50,2023-02-06,25.0,200.0,150.0,Media,Unknown,19.0,2023,19.0785451,72.878176,Service
1082,MyGate,Bengaluru,other,Karnataka,India,Asia,200,2023-02-20,30.0,667.0,467.0,Other,Series B,79.0,2023,12.98815675,77.62260004,Service
1085,Polygon,Bengaluru,other,Karnataka,India,Asia,100,2023-02-21,20.0,500.0,400.0,Crypto,Unknown,451.0,2023,12.98815675,77.62260004,Service
1101,Fittr,Pune,other,Maharashtra,India,Asia,30,2023-03-02,11.0,273.0,243.0,Fitness,Series A,13.0,2023,18.521428,73.8544541,Service
1107,Pristyn Care,Gurugram,other,Haryana,India,Asia,300,2023-03-07,15.0,2000.0,1700.0,Healthcare,Series E,177.0,2023,28.4646148,77.0299194,Service
1118,Dukaan,Bengaluru,other,Karnataka,India,Asia,56,2023-03-15,30.0,187.0,131.0,Retail,Series A,17.0,2023,12.98815675,77.62260004,Service
1123,Livspace,Bengaluru,other,Karnataka,India,Asia,100,2023-03-17,2.0,5000.0,4900.0,Retail,Series F,431.0,2023,12.98815675,77.62260004,Service
1127,Smallcase,Bengaluru,other,Karnataka,India,Asia,15,2023-03-21,4.0,375.0,360.0,Finance,Series C,62.0,2023,12.98815675,77.62260004,Service
1138,FanClash,Gurugram,other,Haryana,India,Asia,100,2023-03-30,75.0,133.0,33.0,Consumer,Series B,50.0,2023,28.4646148,77.0299194,Service
1147,Dunzo,Bengaluru,other,Karnataka,India,Asia,300,2023-04-05,30.0,1000.0,700.0,Food,Unknown,382.0,2023,12.98815675,77.62260004,Product
